"name","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_total_listings_count","host_has_profile_pic","host_identity_verified","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_365","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","calculated_host_listings_count","reviews_per_month","days_as_host","city"
"Quiet and spaceous apptmnt in Noord- 5min. to CS","2011-10-27","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",4,2,2,120,2,1125,0,1,0,0,5,5,4,5,5,5,5,"f",1,0.05,3683,"Amsterdam"
"Quiet Home In The Heart Of The City","2015-04-15","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",4,3,4,249,5,1125,0,15,0,0,4.87,5,5,4.93,4.93,4.83,4.45,"f",1,0.29,2417,"Amsterdam"
"Quiet Baarsjes apartment near cat cafe","2015-05-05","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",2,1,1,166,2,6,0,31,0,0,4.71,4.77,4.81,4.94,4.97,4.65,4.35,"f",1,0.56,2397,"Amsterdam"
"Studio Boom Amsterdam","2020-01-14","within a few hours",100,NA,"f",2,2,"t","t","Entire home/apt",2,1,2,190,1,1125,178,0,0,0,NA,NA,NA,NA,NA,NA,NA,"t",1,NA,682,"Amsterdam"
"80m2 fashion appartement near citycenter en pijp","2013-12-12","within an hour",100,64,"f",2,2,"t","t","Entire home/apt",2,1,1,92,1,1125,15,6,1,0,5,5,4.5,5,5,5,4.75,"f",1,0.14,2906,"Amsterdam"
"Modern & fresh studio in trendy area","2013-11-17","N/A",NA,NA,"t",1,1,"t","t","Private room",2,1,1,88,2,1125,0,168,0,0,4.9,4.89,4.98,4.94,4.99,4.68,4.63,"f",1,2.74,2931,"Amsterdam"
"Lovely family 3BR home + garden near Vondelpark","2014-09-29","N/A",NA,100,"f",1,1,"t","f","Entire home/apt",4,3,3,225,4,30,108,19,1,0,4.79,4.84,4.63,4.89,5,4.79,4.68,"f",1,1.22,2615,"Amsterdam"
"Eco-friendly Double Room next to Vondelpark","2020-11-18","N/A",NA,NA,"f",0,0,"t","t","Private room",2,1,1,98,1,365,359,10,10,4,4.7,4.7,4.6,4.5,4.8,4.3,4.7,"t",2,5.56,373,"Amsterdam"
"Skyscapes. Two rooms in Bohemian ‘De Pijp'","2015-07-28","within an hour",100,100,"t",1,1,"t","t","Private room",3,2,3,135,2,1125,101,53,25,6,4.94,4.91,4.92,4.94,4.92,4.89,4.66,"t",1,2.37,2313,"Amsterdam"
"Private LOFT; 17th century manor house in centre","2016-05-21","N/A",NA,NA,"t",0,0,"t","t","Hotel room",2,1,1,140,2,30,18,36,4,3,4.97,4.97,5,4.97,5,4.86,4.69,"t",2,1.46,2015,"Amsterdam"
"Stunning apartment on the Noordermarkt","2016-03-20","within a day",90,44,"f",1,1,"t","t","Entire home/apt",4,2,2,425,2,1125,51,52,3,1,4.8,4.88,4.61,4.75,4.65,4.96,4.57,"f",1,1.05,2077,"Amsterdam"
"Spacious 2 room apartment (with rooftop terrace)","2012-10-15","within a few hours",100,100,"t",1,1,"t","t","Entire home/apt",2,1,1,155,2,4,190,60,5,0,4.98,4.98,4.95,5,4.98,4.77,4.82,"f",1,0.98,3329,"Amsterdam"
"Large Double Room | Max Brown Museum Square Hotel","2020-09-25","within an hour",100,100,"t",0,0,"t","t","Private room",3,1,2,160,1,1125,33,1,1,0,5,5,5,5,5,5,4,"t",6,0.29,427,"Amsterdam"
"Cozy Apartment in Amsterdam-zuid","2014-02-25","within an hour",100,67,"f",0,0,"t","t","Entire home/apt",2,1,1,120,3,365,45,2,2,2,5,5,5,5,5,4.5,5,"f",1,2,2831,"Amsterdam"
"Apartment in Amsterdam Westerpark","2016-01-10","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",3,1,2,101,3,1125,32,12,0,0,4.91,4.82,4.82,4.8,5,4.3,4.7,"f",1,0.27,2147,"Amsterdam"
"BrightCozy 2BR in the heart of Pijp with balcony!","2013-08-30","within an hour",100,100,"f",1,1,"t","t","Entire home/apt",4,2,2,150,4,1125,146,23,1,0,4.21,4.43,4.43,4.43,4.48,4.7,4,"f",2,0.24,3010,"Amsterdam"
"Authentic groundfloor studio loft apartment east","2015-10-03","within an hour",100,100,"f",1,1,"t","t","Private room",2,1,2,91,2,60,290,190,6,2,4.85,4.92,4.82,4.96,4.99,4.75,4.68,"t",1,4.09,2246,"Amsterdam"
"Ideal family house with exceptional  lake view","2014-01-22","N/A",NA,0,"f",1,1,"t","t","Entire home/apt",4,2,2,199,3,14,0,7,0,0,5,5,5,5,5,4.86,4.86,"f",1,0.28,2865,"Amsterdam"
"Farmstyle, rural appartment with free bikes!","2014-06-16","within an hour",100,100,"f",4,4,"t","t","Entire home/apt",4,1,2,99,1,365,298,140,38,2,4.71,4.72,4.76,4.79,4.9,4.42,4.61,"t",4,3.83,2720,"Amsterdam"
"Houseboat in central Amsterdam","2013-01-20","within an hour",100,67,"f",1,1,"t","t","Entire home/apt",2,1,1,250,2,1125,315,23,1,1,4.91,4.78,4.65,5,4.91,5,4.78,"f",1,0.29,3232,"Amsterdam"
"Spacious room in stylish renovated apartment","2018-11-14","within an hour",83,100,"f",3,3,"t","t","Private room",2,1,1,70,3,1125,68,56,15,1,4.21,4.38,4.18,4.48,4.61,4.77,4.3,"t",3,1.72,1108,"Amsterdam"
"Charming  2-room Flat  in  AMSTERDAM","2014-05-11","within a few hours",91,100,"f",2,2,"t","t","Entire home/apt",4,2,3,190,3,1125,340,24,0,0,4.79,4.75,4.63,4.92,4.92,4.38,4.54,"t",1,0.68,2756,"Amsterdam"
"Stunning appartment in a prime location","2019-03-24","within a day",100,75,"f",0,0,"t","t","Entire home/apt",4,3,2,NA,4,365,365,0,0,0,NA,NA,NA,NA,NA,NA,NA,"t",1,NA,978,"Amsterdam"
"Wonderful Townhouse near RAI. Reach Centre in 6min","2017-05-30","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",4,2,3,305,3,1125,152,26,0,0,4.92,4.96,4.88,5,5,4.73,4.5,"f",1,0.5,1641,"Amsterdam"
"Kunstenaarswoning in centrum van Amsterdam","2020-10-21","within a day",50,NA,"f",0,0,"t","t","Entire home/apt",2,1,2,150,14,30,339,0,0,0,NA,NA,NA,NA,NA,NA,NA,"t",1,NA,401,"Amsterdam"
"Spacious, easy to live in, three-floor townhouse.","2013-01-11","N/A",NA,NA,"t",3,3,"t","t","Entire home/apt",4,2,2,57,7,30,0,2,0,0,5,5,5,5,5,5,5,"f",3,0.05,3241,"Amsterdam"
"Re-designed Herenhuis @ Ams center","2013-09-11","within a few hours",100,40,"f",1,1,"t","f","Entire home/apt",6,3,4,300,4,30,16,2,1,0,5,5,5,5,5,5,5,"f",1,0.05,2998,"Amsterdam"
"Hoxton Amsterdam, Roomy Room","2019-10-21","within an hour",80,100,"f",2,2,"t","t","Private room",2,1,1,363,1,1125,329,0,0,0,NA,NA,NA,NA,NA,NA,NA,"t",2,NA,767,"Amsterdam"
"Great modern bedroom #1 in De Pijp, near RAI","2017-07-23","within an hour",100,100,"t",2,2,"t","t","Private room",4,2,2,106,2,27,110,124,19,5,4.69,4.85,4.85,4.86,4.87,4.84,4.54,"t",2,3.97,1587,"Amsterdam"
"Nieuw Gerenoveerd appartement Jordaan","2016-01-10","within an hour",100,100,"f",2,2,"t","t","Private room",2,1,1,79,2,1125,9,226,9,3,4.54,4.71,4.72,4.75,4.75,4.81,4.52,"t",2,3.24,2147,"Amsterdam"
"Private Comfort & luxury bedroom near Metro/Train","2017-10-13","N/A",NA,NA,"t",2,2,"t","t","Private room",1,1,2,56,1,60,0,43,0,0,4.91,4.91,4.91,4.88,4.98,4.84,4.86,"f",3,1.66,1505,"Amsterdam"
"Authentic Farmhouse The Vergulden Eenhoorn 3","2021-03-10","within an hour",95,98,"f",5,5,"t","t","Private room",4,2,3,158,2,30,331,4,4,1,4.75,4.5,4.75,4.75,4.5,4.5,4.75,"t",5,1.82,261,"Amsterdam"
"Bright corner house, 3 bedrooms & rooftop terrace!","2014-06-26","N/A",NA,NA,"f",0,0,"t","t","Entire home/apt",4,3,4,189,5,14,0,10,0,0,5,5,5,4.6,4.9,4.9,4.5,"f",1,0.26,2710,"Amsterdam"
"Comfortable ground floor bedroom close to center","2013-09-12","within an hour",100,100,"t",2,2,"t","t","Private room",2,1,1,54,2,10,71,157,37,8,4.85,4.96,4.94,4.9,4.94,4.78,4.72,"t",1,5.04,2997,"Amsterdam"
"Amsterdam Houseboat Centre II - A fully safe B&B","2018-04-07","within an hour",91,98,"f",1,1,"t","t","Entire home/apt",4,2,3,204,1,1125,327,163,19,2,4.82,4.88,4.57,4.95,4.91,4.99,4.52,"f",1,3.89,1329,"Amsterdam"
"Cozy apartment in lively area, close to Vondelpark","2012-03-14","within a few hours",100,67,"f",1,1,"t","t","Entire home/apt",4,2,2,160,3,7,0,5,1,0,4.8,5,4.6,5,5,5,4.8,"f",1,0.19,3544,"Amsterdam"
"Vondelpark / Center Style Apartment","2014-08-04","N/A",NA,100,"f",1,1,"t","f","Entire home/apt",3,1,1,108,6,31,0,70,1,0,4.86,4.93,4.77,4.99,4.99,4.9,4.71,"f",1,0.83,2671,"Amsterdam"
"Zoku Loft - Home/Office Hybrid - Long","2015-04-09","within an hour",95,100,"t",4,4,"t","t","Entire home/apt",2,1,1,149,28,99,305,0,0,0,NA,NA,NA,NA,NA,NA,NA,"t",6,NA,2423,"Amsterdam"
"Residences | 1-Bedrooms | Serviced Apartment","2021-01-13","within a day",70,100,"f",4,4,"t","t","Entire home/apt",4,1,2,143,7,180,239,0,0,0,NA,NA,NA,NA,NA,NA,NA,"t",3,NA,317,"Amsterdam"
"Comfortable apartment in de Pijp district (airco)","2016-10-23","within an hour",100,100,"t",1,1,"t","t","Entire home/apt",2,1,1,103,2,1125,6,75,6,3,4.97,4.99,5,5,5,4.93,4.74,"f",1,1.38,1860,"Amsterdam"
"The Market Studio","2019-03-11","N/A",NA,NA,"f",1,1,"t","t","Private room",2,NA,1,163,3,1125,0,45,0,0,4.71,4.84,4.78,4.91,4.93,4.93,4.51,"t",1,1.79,991,"Amsterdam"
"Jacobs' Green Quiet Private Luxury Suite","2015-10-03","within an hour",100,NA,"f",1,1,"t","t","Entire home/apt",4,1,2,149,2,1125,85,4,0,0,4.75,4.5,5,5,5,4.25,4.5,"t",1,0.11,2246,"Amsterdam"
"Peaceful spacious private apartment","2015-01-11","within an hour",100,100,"f",1,1,"t","t","Entire home/apt",2,1,1,145,2,3,9,41,2,0,4.95,5,4.9,4.92,5,4.51,4.64,"f",2,0.98,2511,"Amsterdam"
"Canal area, city center popular Jordaan .","2013-08-31","N/A",NA,NA,"t",2,2,"t","t","Entire home/apt",2,1,1,183,3,180,280,25,2,1,5,4.96,5,4.96,5,4.96,4.83,"t",2,0.75,3009,"Amsterdam"
"Central & cosy apartment Amsterdam","2013-07-30","within a few hours",100,60,"f",3,3,"t","f","Entire home/apt",2,1,1,155,3,28,0,53,0,0,4.8,4.92,4.84,4.73,4.69,4.81,4.63,"t",1,0.67,3041,"Amsterdam"
"Simply your kind of place!","2014-01-08","N/A",NA,NA,"f",0,0,"t","t","Entire home/apt",2,1,1,84,2,7,0,4,0,0,5,5,5,5,5,5,5,"f",1,0.17,2879,"Amsterdam"
"Cozy renovated apartment near city centre","2014-07-14","within a few hours",100,50,"f",1,1,"t","f","Entire home/apt",2,1,1,110,6,1125,0,27,1,0,4.96,4.92,4.65,4.77,4.77,4.81,4.58,"f",1,0.71,2692,"Amsterdam"
"Paradise in De Pijp! NEW","2014-03-10","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",2,1,1,188,2,15,0,31,0,0,4.97,4.9,4.94,4.97,4.97,4.9,4.68,"f",1,0.42,2818,"Amsterdam"
"Stunning apartment in Amsterdam west + balcony","2015-08-06","within an hour",100,67,"f",1,1,"t","t","Entire home/apt",2,1,1,110,5,1125,271,36,2,0,4.47,4.63,4.22,4.75,4.63,4.75,4.25,"f",1,0.52,2304,"Amsterdam"
"DUTCH DELIGHT in ""the PIJP""","2017-03-03","within an hour",100,100,"t",3,3,"t","t","Entire home/apt",4,1,1,140,7,1125,226,21,9,2,4.86,4.9,4.67,5,4.9,4.95,4.71,"t",1,1.43,1729,"Amsterdam"
"WHOLE APPARTEMENT POSSIBLE (text me)","2014-10-06","within an hour",100,32,"t",2,2,"t","t","Private room",2,1,1,60,7,1125,40,105,6,0,4.88,4.87,4.8,4.96,4.94,4.81,4.66,"f",1,2.05,2608,"Amsterdam"
"Ultra studio in historic monument","2011-10-21","within an hour",100,57,"f",3,3,"t","t","Entire home/apt",2,1,1,139,3,180,17,16,0,0,4.75,4.94,4.69,4.75,4.75,4.75,4.38,"f",2,0.39,3689,"Amsterdam"
"Nice family home in the trendy Noord district","2016-12-16","a few days or more",0,75,"f",1,1,"t","t","Entire home/apt",5,3,4,210,5,30,0,25,2,0,5,5,4.96,5,5,4.92,4.84,"f",1,0.45,1806,"Amsterdam"
"City Centre Boutique Deluxe Room in Monument","2015-11-15","within an hour",100,89,"t",2,2,"t","t","Hotel room",2,1,1,134,2,1125,179,15,6,1,5,5,5,5,5,5,4.93,"f",2,2.42,2203,"Amsterdam"
"2 bedroom apartment with garden near Vondelpark","2014-02-21","N/A",NA,100,"t",1,1,"t","f","Entire home/apt",4,2,3,214,2,1125,16,37,0,0,4.78,4.86,4.73,4.86,4.92,4.65,4.49,"f",1,0.43,2835,"Amsterdam"
"The Old Canal House: suite, right in center!","2018-11-03","within an hour",100,92,"t",2,2,"t","t","Private room",2,1,1,128,1,31,326,134,40,6,4.86,4.92,4.7,4.97,4.98,4.96,4.74,"f",2,4.14,1119,"Amsterdam"
"Luxury apartment with all amenities & roof terrace","2015-12-11","a few days or more",0,NA,"f",1,1,"t","t","Entire home/apt",2,1,2,149,3,1125,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"f",1,NA,2177,"Amsterdam"
"Homely 1930's apartment next to Vondelpark","2015-02-18","within an hour",100,80,"f",1,1,"t","t","Entire home/apt",4,2,2,180,2,30,0,36,2,0,4.89,4.89,4.86,4.92,4.92,4.58,4.57,"f",1,0.73,2473,"Amsterdam"
"Cannabis Friendly (B) Freeland Studio 9","2021-06-08","within an hour",98,100,"f",19,19,"t","t","Private room",4,NA,NA,186,1,1125,12,7,7,2,4.86,4.71,4.71,5,5,5,4.86,"t",19,2.26,171,"Amsterdam"
"Quiet cozy apartment in historic centre","2016-01-07","N/A",NA,0,"f",1,1,"t","t","Entire home/apt",4,1,NA,172,4,30,5,35,0,0,4.74,4.91,4.77,4.97,4.97,4.83,4.41,"f",1,0.55,2150,"Amsterdam"
"Sunny apartment Amsterdam Zuid behind Museumsquare","2013-01-01","N/A",NA,NA,"t",1,1,"t","t","Private room",4,1,3,130,2,35,236,114,10,2,4.93,4.91,4.92,4.97,4.97,4.95,4.78,"f",1,1.73,3251,"Amsterdam"
"Oud-West/Jordaan with canal view","2013-11-09","within a few hours",100,17,"f",1,1,"t","f","Entire home/apt",2,1,1,150,14,365,126,10,0,0,4.9,5,4.6,4.9,4.7,4.6,4.3,"f",1,0.11,2939,"Amsterdam"
"Entire apartment in the ♥️ of Ams with a balcony.","2013-12-07","within a few hours",80,61,"f",0,0,"t","t","Entire home/apt",3,1,1,250,1,6,59,6,6,2,4.83,4.83,4.67,4.83,4.67,4.5,4.5,"f",1,2,2911,"Amsterdam"
"High-end, tastefully decorated apartment & terrace","2017-01-18","N/A",NA,NA,"t",0,0,"t","t","Entire home/apt",2,1,1,165,3,32,160,0,0,0,NA,NA,NA,NA,NA,NA,NA,"f",1,NA,1773,"Amsterdam"
"Woonboot in centrum Amsterdam","2016-01-14","within an hour",100,100,"t",1,1,"t","f","Entire home/apt",2,1,1,142,3,1125,162,69,8,2,4.96,4.97,4.94,5,4.99,4.97,4.81,"f",1,1.02,2143,"Amsterdam"
"Spacious appt, singles or couples, gay friendly","2015-04-28","within a day",100,63,"f",0,0,"t","t","Private room",2,1,1,129,3,1125,145,5,5,1,5,5,5,5,5,5,5,"f",1,0.87,2404,"Amsterdam"
"Great large  bedroom Inc breakfast","2014-06-11","N/A",NA,NA,"t",1,1,"t","f","Private room",2,1,1,80,2,10,0,123,0,0,4.95,4.95,4.96,4.98,4.98,4.71,4.87,"f",1,2.02,2725,"Amsterdam"
"Central Canal view ground floor duplex chld frndly","2011-10-28","within an hour",100,100,"f",3,3,"t","t","Entire home/apt",4,2,5,250,4,180,0,201,1,0,4.8,4.83,4.72,4.92,4.92,4.86,4.67,"f",3,2.75,3682,"Amsterdam"
"APARTMENT WITH CANAL VIEW!","2015-01-20","a few days or more",0,0,"f",1,1,"t","t","Entire home/apt",4,NA,2,280,2,1125,77,19,0,0,4.78,4.89,4.72,4.61,4.78,5,4.72,"f",1,0.25,2502,"Amsterdam"
"Suite with separate entrance in the center city!","2011-07-26","within an hour",100,96,"t",3,3,"t","t","Private room",2,1,1,70,2,1125,0,261,10,0,4.58,4.8,4.59,4.89,4.93,4.95,4.54,"t",1,3.87,3776,"Amsterdam"
"Bed & Breakfast Zunderdorp, Studio 3","2017-07-16","within an hour",100,100,"t",1,1,"t","t","Private room",4,1,2,79,2,1125,249,40,3,0,4.98,4.95,4.98,4.9,4.93,4.58,4.83,"t",6,1.44,1594,"Amsterdam"
"Authentic Amsterdam Hideout!","2016-02-09","within an hour",100,99,"t",2,2,"t","t","Entire home/apt",2,1,1,99,2,30,59,427,34,8,4.78,4.89,4.92,4.93,4.94,4.91,4.67,"t",2,6.59,2117,"Amsterdam"
"Modern and Luxurious Studio | 10min to City Centre","2020-01-29","within an hour",100,100,"t",2,2,"t","t","Private room",2,1,2,89,2,99,33,20,8,0,4.9,5,4.95,5,5,4.8,4.9,"t",2,0.96,667,"Amsterdam"
"Room Charlotte (not suitable for parties)","2018-03-03","within an hour",100,100,"f",3,3,"t","t","Private room",2,1,2,50,1,200,352,150,53,9,4.51,4.69,4.72,4.77,4.64,4.86,4.43,"t",4,5.41,1364,"Amsterdam"
"The black studio","2018-07-11","within an hour",100,94,"f",2,2,"t","f","Private room",4,2,1,179,2,1125,270,10,8,4,4.5,4.6,4.1,4.5,4.7,5,4.8,"f",1,0.32,1234,"Amsterdam"
"Cosy apartment in quiet street near city centre","2014-07-09","within a day",100,67,"f",1,1,"t","f","Entire home/apt",2,1,1,110,4,31,24,15,2,0,4.93,5,5,5,5,4.8,4.6,"f",1,0.46,2697,"Amsterdam"
"Design studio apartment in central Amsterdam","2013-07-01","N/A",NA,50,"f",0,0,"t","t","Entire home/apt",2,NA,2,129,1,1125,0,6,6,0,5,5,5,5,5,5,4.83,"f",1,1.33,3070,"Amsterdam"
"80m2 apartment with garden, close to city center","2013-09-12","within a day",100,NA,"f",2,2,"t","t","Entire home/apt",2,1,1,155,7,1125,63,0,0,0,NA,NA,NA,NA,NA,NA,NA,"f",1,NA,2997,"Amsterdam"
"Sunny 200 m2 apartment with garden in De Pijp","2013-05-11","within a day",75,0,"f",1,1,"t","t","Entire home/apt",4,3,3,260,3,1125,45,47,0,0,4.84,4.84,4.71,5,4.96,4.89,4.73,"f",1,0.48,3121,"Amsterdam"
"Mandrill Cave with Street Art in Amsterdam","2020-03-19","within an hour",89,99,"f",7,7,"t","t","Private room",2,NA,1,117,1,99,8,1,0,0,5,5,5,5,5,5,5,"t",6,0.06,617,"Amsterdam"
"Top Location Amsterdam 1 pers.room","2014-02-21","N/A",NA,NA,"t",2,2,"t","t","Private room",1,1,1,51,5,30,248,61,8,2,4.85,4.87,4.93,4.92,4.93,4.93,4.7,"f",2,1.68,2835,"Amsterdam"
"Wonderful flat in Amsterdam (GREAT location:))!!","2016-09-30","within a few hours",100,0,"f",1,1,"t","t","Entire home/apt",2,1,1,194,2,1125,167,4,0,0,5,5,4.75,5,4.75,5,4.75,"f",1,0.08,1883,"Amsterdam"
"Amazing Family home on River Amstel","2013-04-09","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",6,3,4,250,5,18,154,5,0,0,4.6,5,4.2,4.8,4.8,4.4,4.6,"f",1,0.06,3153,"Amsterdam"
"Modern canal-district residence","2015-06-09","within an hour",90,100,"f",3,3,"t","f","Private room",4,1,1,170,1,15,20,227,16,0,4.54,4.65,4.58,4.87,4.78,4.95,4.4,"t",1,3.97,2362,"Amsterdam"
"Day on the Lake, flop out, dive in, sunbake, peace","2013-08-21","within a few hours",80,40,"t",1,1,"t","t","Private room",5,NA,NA,75,1,5,231,141,0,0,4.86,4.89,4.79,4.76,4.88,4.79,4.63,"f",1,1.56,3019,"Amsterdam"
"Clean comfi private studio in De Pijp central","2013-06-12","within an hour",100,100,"t",3,3,"t","t","Private room",2,NA,1,84,2,100,2,188,24,3,4.96,4.99,4.97,4.96,4.98,4.93,4.79,"t",3,4.2,3089,"Amsterdam"
"Your perfect city-trip place!","2014-04-29","N/A",NA,0,"f",1,1,"t","t","Entire home/apt",2,1,1,165,2,1125,122,25,0,0,4.76,4.92,4.79,4.96,4.92,4.79,4.63,"f",1,0.28,2768,"Amsterdam"
"Spacious & convenient stay in Amsterdam South","2021-06-16","within an hour",96,99,"t",1,1,"t","t","Entire home/apt",2,NA,1,89,1,1125,161,27,27,7,4.59,4.56,4.63,4.44,4.56,4.11,4.44,"t",6,7.57,163,"Amsterdam"
"With a garden and a brand new bathroom","2014-07-24","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",4,3,3,175,5,1124,0,4,0,0,5,5,4.75,5,5,4.5,5,"f",1,0.08,2682,"Amsterdam"
"stylish and spacious appartment in the pijp area","2019-05-07","within an hour",100,100,"f",1,1,"t","t","Entire home/apt",2,1,1,150,3,7,0,13,5,2,5,4.92,4.85,5,5,4.92,4.92,"f",1,1.27,934,"Amsterdam"
"Stylish and Cosy. Private bathtub. Lake view.","2015-10-13","N/A",NA,NA,"t",1,1,"t","t","Private room",2,1,1,75,3,1125,0,18,0,0,5,4.89,4.94,4.89,5,4.89,4.83,"f",2,0.59,2236,"Amsterdam"
"SWEETS hotel Theophile de Bockbrug","2018-07-20","within an hour",100,97,"t",20,20,"t","t","Hotel room",2,1,1,152,1,1125,294,46,2,2,4.78,4.83,4.91,4.61,4.87,4.87,4.39,"t",20,1.26,1225,"Amsterdam"
"The city center & nature @ your fingertips","2010-11-10","within an hour",100,25,"f",1,1,"t","t","Entire home/apt",5,4,4,120,10,60,0,49,1,0,4.86,4.96,4.96,4.89,4.92,4.43,4.74,"f",2,0.75,4034,"Amsterdam"
"Lovely spacious flat with garden in Amsterdam","2012-04-09","within a few hours",100,100,"f",0,0,"t","t","Entire home/apt",3,1,1,100,19,30,18,1,1,0,5,5,5,5,5,5,5,"f",1,0.88,3518,"Amsterdam"
"★ A/C ★ | BEAUTIFUL CITY CENTER CANAL VIEW ROOM ★","2017-05-23","within an hour",100,98,"t",2,2,"t","t","Private room",2,1,2,92,3,1001,96,110,13,1,4.49,4.64,4.55,4.66,4.72,4.96,4.3,"f",3,2.16,1648,"Amsterdam"
"Cosy vintage style apartment with the cutest cat","2013-07-09","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",2,1,1,150,4,7,0,12,0,0,4.5,4.67,4.83,4.55,4.83,4.36,4.18,"t",1,0.23,3062,"Amsterdam"
"Beautiful Apartment in the Heart of the Amsterdam Centre","2017-03-22","within an hour",100,99,"f",429,429,"f","t","Entire home/apt",4,2,3,388,1,28,352,17,4,1,4.63,4.63,4.38,4.63,4.75,5,4.38,"t",2,17,1710,"Amsterdam"
"Stylish and Modern Loft","2016-08-03","within a day",100,NA,"f",0,0,"t","t","Entire home/apt",2,1,1,206,1,20,21,0,0,0,NA,NA,NA,NA,NA,NA,NA,"t",1,NA,1941,"Amsterdam"
"Grand room with ensuite bathroom","2019-09-23","within an hour",100,94,"f",3,3,"t","t","Private room",2,1,1,100,2,10,0,5,4,3,4.4,4.4,4.2,4.8,4.8,4.6,4.4,"t",2,0.47,795,"Amsterdam"
"Urban Design Apartment next to Westerpark","2015-05-01","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",2,1,1,150,1,365,137,11,11,0,4.82,4.55,4.36,4.82,4.91,4.82,4.45,"f",1,1.25,2401,"Amsterdam"
"East of Eden!  (2 bedrooms with attached bath)","2011-10-25","N/A",NA,NA,"f",2,2,"t","t","Entire home/apt",4,2,2,207,3,12,0,28,0,0,4.93,4.93,4.86,5,5,4.64,4.64,"f",1,0.77,3685,"Amsterdam"
"Spacious family house","2015-11-21","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",5,3,4,100,2,1125,0,7,0,0,4.43,4.86,4.14,4.71,4.57,4.71,4.29,"f",1,0.14,2197,"Amsterdam"
"Modern canal house with floating terrace + parking","2015-01-15","N/A",NA,0,"f",2,2,"t","f","Entire home/apt",4,3,3,206,3,1125,0,12,0,0,4.83,4.83,4.67,4.83,4.75,4.92,4.42,"f",2,0.27,2507,"Amsterdam"
"Complete studio apartment for two, Museum Quarter","2016-04-19","within an hour",100,50,"t",1,1,"t","t","Private room",2,1,2,178,2,1125,0,55,0,0,4.96,4.98,5,4.98,4.93,4.95,4.95,"f",1,0.89,2047,"Amsterdam"
"Private Studio, 20 min from the center!","2014-09-28","within an hour",100,93,"f",2,2,"t","t","Private room",4,NA,2,85,2,1125,328,278,6,3,4.78,4.89,4.87,4.89,4.88,4.52,4.63,"f",1,3.51,2616,"Amsterdam"
"Top of the City on super location with canal view!","2014-12-02","within an hour",100,100,"f",1,1,"t","t","Private room",4,1,2,164,2,1125,275,217,5,2,4.83,4.86,4.94,4.93,4.92,4.94,4.61,"f",1,2.75,2551,"Amsterdam"
"At The Canal Spacious And Beautiful","2015-06-10","N/A",NA,NA,"f",1,1,"t","f","Entire home/apt",2,1,1,164,4,30,0,32,0,0,4.94,4.91,4.88,4.94,4.91,4.97,4.56,"t",1,0.45,2361,"Amsterdam"
"Charming House near Vondelpark including 2 bikes!","2017-11-07","within an hour",100,89,"f",3,3,"t","t","Entire home/apt",2,1,1,120,2,8,32,5,0,0,5,4.8,5,4.8,5,5,4.8,"t",2,0.13,1480,"Amsterdam"
"Karel Appel apartment with canal view + terrace","2013-10-07","within a day",90,86,"f",9,9,"t","t","Entire home/apt",6,3,5,395,7,1125,269,1,0,0,5,5,5,5,5,5,4,"f",9,0.03,2972,"Amsterdam"
"Private room (tuin)1900mto Dam center","2018-02-14","within an hour",100,100,"t",3,3,"t","t","Private room",2,1,1,79,5,125,5,70,9,1,4.76,4.79,4.85,4.9,4.81,4.78,4.6,"t",2,2.02,1381,"Amsterdam"
"Relaxing apartment in De Pijp, ideal for business","2014-11-30","within an hour",100,77,"f",1,1,"t","f","Entire home/apt",3,2,2,150,4,1125,11,0,0,0,NA,NA,NA,NA,NA,NA,NA,"f",1,NA,2553,"Amsterdam"
"2-storey apt. with Canal view","2015-11-14","within a few hours",100,75,"f",1,1,"t","f","Entire home/apt",4,3,3,199,5,7,2,24,2,0,4.91,4.91,4.87,4.96,5,4.87,4.7,"f",1,0.36,2204,"Amsterdam"
"Canal penthouse central Amsterdam","2018-02-16","within a few hours",100,54,"f",2,2,"t","t","Private room",2,2,1,137,2,365,23,6,6,0,5,4.83,4.67,4.67,5,5,4.83,"f",1,1.64,1379,"Amsterdam"
"Enjoyable stay in museum district","2012-07-19","within an hour",100,100,"t",3,3,"t","t","Private room",1,1,1,64,1,1125,344,251,7,3,4.71,4.86,4.82,4.86,4.9,4.94,4.63,"t",3,3.77,3417,"Amsterdam"
